"","quantity","education","cohort","age","income"
"186","50th percentile","Less than College",1950,42,49010.7385519986
"187","50th percentile","College Degree",1950,43,81016.6234065871
"188","50th percentile","Less than College",1950,43,48609.9740439522
"189","50th percentile","College Degree",1950,44,78769.5360094451
"190","50th percentile","Less than College",1950,44,49354.3458705796
"191","50th percentile","College Degree",1950,45,76812.0529366729
"192","50th percentile","Less than College",1950,45,50763.1654845237
"193","50th percentile","College Degree",1960,30,67187.8882581797
"194","50th percentile","Less than College",1960,30,43000.248485235
"195","50th percentile","College Degree",1960,31,68767.94124847
"196","50th percentile","Less than College",1960,31,42979.9632802938
"197","50th percentile","College Degree",1960,32,70909.1536497001
"198","50th percentile","Less than College",1960,32,43796.830195403
"199","50th percentile","College Degree",1960,33,70889.5454807637
"200","50th percentile","Less than College",1960,33,44559.1428736229
"201","50th percentile","College Degree",1960,34,75018.605723281
"202","50th percentile","Less than College",1960,34,43431.8243661101
"203","50th percentile","College Degree",1960,35,80652.6555835065
"204","50th percentile","Less than College",1960,35,48007.5330854205
"205","50th percentile","College Degree",1960,36,78351.7218296765
"206","50th percentile","Less than College",1960,36,44772.4124741008
"207","50th percentile","College Degree",1960,37,82030.7506618907
"208","50th percentile","Less than College",1960,37,45572.6392566059
"209","50th percentile","College Degree",1960,38,87961.6006339144
"210","50th percentile","Less than College",1960,38,46673.5023771791
"211","50th percentile","College Degree",1960,39,87830.4902451225
"212","50th percentile","Less than College",1960,39,49185.0745372686
"213","50th percentile","College Degree",1960,40,84969.825291584
"214","50th percentile","Less than College",1960,40,47583.102163287
"215","50th percentile","College Degree",1960,41,85947.7881854554
"216","50th percentile","Less than College",1960,41,49585.2624146858
"217","50th percentile","College Degree",1960,42,84597.885470719
"218","50th percentile","Less than College",1960,42,48806.4723869533
"219","50th percentile","College Degree",1960,43,84287.834692029
"220","50th percentile","Less than College",1960,43,47710.0951086957
"221","50th percentile","College Degree",1960,44,92940.9237284397
"222","50th percentile","Less than College",1960,44,46470.4618642199
"223","50th percentile","College Degree",1960,45,83920.2492318197
"224","50th percentile","Less than College",1960,45,47954.4281324684
"225","50th percentile","College Degree",1970,30,67975.8602332672
"226","50th percentile","Less than College",1970,30,40785.5161399603
"227","50th percentile","College Degree",1970,31,67766.5253000706
"228","50th percentile","Less than College",1970,31,44362.2814403389
"229","50th percentile","College Degree",1970,32,73209.7085804299
"230","50th percentile","Less than College",1970,32,44739.2663547072
"231","50th percentile","College Degree",1970,33,77272.8603745471
"232","50th percentile","Less than College",1970,33,44529.4221014493
"233","50th percentile","College Degree",1970,34,77450.7697736998
"234","50th percentile","Less than College",1970,34,43372.4310732719
"235","50th percentile","College Degree",1970,35,74928.7939569819
"236","50th percentile","Less than College",1970,35,44957.2763741891
"237","50th percentile","College Degree",1970,36,79848.871294497
"238","50th percentile","Less than College",1970,36,43553.9297969984
"239","50th percentile","College Degree",1970,37,84677.159151652
"240","50th percentile","Less than College",1970,37,46572.4375334086
"241","50th percentile","College Degree",1970,38,81565.4743169995
"242","50th percentile","Less than College",1970,38,46220.4354462997
"243","50th percentile","College Degree",1970,39,88646.5832367554
"244","50th percentile","Less than College",1970,39,47732.7755890221
"245","50th percentile","College Degree",1970,40,80510.0129389044
"246","50th percentile","Less than College",1970,40,46964.1742143609
"247","50th percentile","College Degree",1970,41,81962.18594808
"248","50th percentile","Less than College",1970,41,45534.5477489333
"249","50th percentile","College Degree",1970,42,82846.5920371916
"250","50th percentile","Less than College",1970,42,44609.7034046416
"251","50th percentile","College Degree",1970,43,85418.0762039063
"252","50th percentile","Less than College",1970,43,47733.63081983
"253","50th percentile","College Degree",1970,44,86532.4722415845
"254","50th percentile","Less than College",1970,44,43266.2361207922
"255","50th percentile","College Degree",1970,45,88897.1410548656
"256","50th percentile","Less than College",1970,45,44448.5705274328
"257","90th percentile","College Degree",1940,30,113005.674747908
"258","90th percentile","Less than College",1940,30,85884.3128084102
"259","90th percentile","College Degree",1940,31,122879.520378757
"260","90th percentile","Less than College",1940,31,88906.947097571
"261","90th percentile","College Degree",1940,32,132983.450269085
"262","90th percentile","Less than College",1940,32,90988.6764999003
"263","90th percentile","College Degree",1940,33,144911.247420747
"264","90th percentile","Less than College",1940,33,94192.3108234853
"265","90th percentile","College Degree",1940,34,148338.247718824
"266","90th percentile","Less than College",1940,34,94343.125549172
"267","90th percentile","College Degree",1940,35,133195.298807865
"268","90th percentile","Less than College",1940,35,92421.2277442328
"269","90th percentile","College Degree",1940,36,149052.147248244
"270","90th percentile","Less than College",1940,36,92515.1258782201
"271","90th percentile","College Degree",1940,37,152063.630052241
"272","90th percentile","Less than College",1940,37,96548.3365411053
"273","90th percentile","College Degree",1940,38,161467.196321369
"274","90th percentile","Less than College",1940,38,101634.629684506
