race,wealth,weight
Black,763800,4769.9599107
Black,761500,2587.2956805
Black,756920,4789.9311242
Black,756731,5065.6066871
Black,753500,5842.0830531
Black,750710,5912.4495919
Black,749460,4814.3433124
Black,749400,2740.3291423
Black,740510,6013.041322
Black,734500,4004.1486367
Black,732410,6043.5498473
Black,724300,5020.3743938
Black,723900,5143.4232166
Black,711700,4856.1484149
Black,701780,4708.7720617
Black,701210,4528.7503539
Black,695710,4838.5088214
Black,694800,6071.9246498
Black,692720,4922.0445844
Black,687500,2691.0456648
Black,685720,4905.4111083
Black,685610,4946.7089092
Black,685500,5011.0385158
Black,685300,5097.4073573
Black,679450,5143.2771191
Black,678300,6177.3868925
Black,677200,5051.4407964
Black,675800,4796.4782639
Black,674710,4653.4539741
Black,666190,675.6082136
Black,660440,4774.3223251
Black,652200,6161.1935257
Black,652000,5123.2663966
Black,652000,5401.0760636
Black,652000,5446.3508443
Black,651000,5169.4183051
Black,651000,5449.9269419
Black,651000,5465.6067361
Black,651000,5372.1660847
Black,651000,5495.1725002
Black,651000,5418.7339227
Black,650000,5326.9206265
Black,637900,4519.3745851
Black,631550,6203.2265164
Black,631550,4480.8939339
Black,629700,4910.1230405
Black,629700,5176.9219039
Black,629700,5194.5547731
Black,629700,5106.6121093
Black,629700,5219.2948651
Black,628800,4757.2417596
Black,621700,4810.0157571
Black,620200,6203.6395405
Black,620100,5835.8730593
Black,620100,6154.6443252
Black,620100,6170.8204789
Black,620100,6065.47034
Black,614850,6224.6348032
Black,612400,4819.4608179
Black,597741,5090.1933172
Black,588400,4907.9339244
Black,587400,4924.5412316
Black,587400,4841.4731331
Black,586460,4992.2875676
Black,586400,4950.0818744
Black,585500,4656.455114
Black,584780,4966.5291586
Black,584720,4696.1572686
Black,584310,4882.7527998
Black,583540,4949.7802532
Black,575300,5123.3866177
Black,569180,4420.215905
Black,550731,5047.1591855999995
Black,549300,4496.056237
Black,546200,3648.7921793
Black,546100,3432.4711686
Black,546100,3618.7051252
Black,546100,3630.3726623
Black,546000,4747.0858622
Black,546000,3569.6404227
Black,541480,4722.4804295
Black,541180,4746.1447399
Black,540370,4464.7798177
Black,540150,5883.7111577
Black,540080,4642.3316216
Black,537870,4706.5213572
Black,535400,3463.5894547
Black,527400,3510.8490666
Black,526550,6254.4229646
Black,519600,3211.6834501
Black,518600,3087.9105734
Black,516600,3161.4707289
Black,515600,3174.2311330000002
Black,515400,3526.7495971
Black,510600,3119.8559139
